date,price,volume,market_cap
2024-09-14,2445.08621032297,13122792869.978857,294131761890.3451
2024-09-15,2418.0828083179904,7248493705.268602,290912717943.81995
2024-09-16,2322.6433317480564,9361948332.945747,279257769574.61383
2024-09-17,2295.1348386540835,16629103878.54157,276339513490.21936
2024-09-18,2341.0924132597524,14449511265.93516,281704536557.3961
2024-09-19,2361.960992100706,17524561761.811428,283874122378.3681
2024-09-20,2465.2347833172967,17820089225.37694,296680606397.51587
2024-09-21,2557.6218555442515,18498405459.395584,307586864690.1545
2024-09-22,2614.599604753501,9276102854.536339,315153052833.9301
2024-09-23,2582.847683741262,12759588941.97967,310840922229.8413
2024-09-24,2647.9931622033255,19740370943.835594,318666137823.1156
2024-09-25,2653.844345308008,16584773336.25631,319524635350.52515
2024-09-26,2578.566359563475,14003678832.756735,309875035203.6359
2024-09-27,2630.94983700893,16686162392.966532,316828988137.27673
2024-09-28,2698.1928212346033,16468123574.12263,324681649929.6723
2024-09-29,2680.218702062471,9607072594.439383,322761939149.4107
2024-09-30,2659.611211611689,9570811494.068226,320146112155.9396
2024-10-01,2597.3411516834435,17539259209.42195,312577514239.3695
2024-10-02,2451.631522589772,26538568534.282005,295243912099.71765
2024-10-03,2365.231040243019,20613586399.40693,284621591999.18945
2024-10-04,2348.0048369247393,18771995105.191242,282601960212.3656
2024-10-05,2416.9184055552637,15230883994.399237,290928251441.44226
2024-10-06,2415.4038137445546,7362867897.959902,290706276902.6144
2024-10-07,2438.030912544012,7641011283.520121,293516242471.9333
2024-10-08,2422.7506412955013,16943828822.371426,291612805733.03143
2024-10-09,2441.4651696200294,13601054198.545612,294190554781.40424
2024-10-10,2367.615096789395,14384326799.317202,285084590935.4484
2024-10-11,2381.7817088014776,14686776834.298496,286552629874.8065
2024-10-12,2435.7137843692162,13097241431.234644,293162664953.97815
2024-10-13,2477.6130275578225,8538997411.470292,298282533565.2097
2024-10-14,2466.8607267086663,7516544091.44527,296977636559.92773
2024-10-15,2628.504376157751,21502937840.286705,316451494816.54065
2024-10-16,2602.0760435960988,21986428173.14599,313216116600.22363
2024-10-17,2611.700159182395,16135687550.25065,314435102932.4304
2024-10-18,2603.1202923346113,14330391810.475258,313194633306.5954
2024-10-19,2643.156520987104,16301885114.203026,318245706033.605
2024-10-20,2649.979289580214,7337169826.464913,318975355966.1185
2024-10-21,2742.9591411600395,12697856633.571321,330127637903.2564
2024-10-22,2665.731938974013,17340865615.868176,320871813296.62164
2024-10-23,2619.5653130506435,15418370745.51069,315286963217.6233
2024-10-24,2524.1038563091197,19004341635.326817,303758669310.65466
2024-10-25,2536.234041319884,16708110976.636312,305016120148.3843
2024-10-26,2422.09328922875,23734197478.807434,290598017399.4684
2024-10-27,2479.3736032443317,13434262241.34632,298518432454.89374
2024-10-28,2505.502947138879,8656317174.654642,301656245036.7335
2024-10-29,2564.8138556782997,19560694034.693996,308760527470.31
2024-10-30,2638.637351278122,22541317733.245987,317633905084.8851
2024-10-31,2657.6141818494384,22790792400.863556,320125387602.99
2024-11-01,2514.750787241073,20097565241.562813,302903644448.69275
2024-11-02,2513.8372870612066,20396109310.40712,302633410028.4328
2024-11-03,2491.352150058657,8253307127.229915,299972542553.578
2024-11-04,2456.979687344711,14546539750.496363,296080479788.81036
2024-11-05,2395.9472139132804,17316680977.698635,288417039274.4664
2024-11-06,2422.368479855642,18024855703.904736,291680535424.015
2024-11-07,2720.6217450068793,42388106411.06861,327447580506.6538
2024-11-08,2894.9718733838376,36844374455.9351,348640981227.00085
2024-11-09,2960.9593369382137,33688997426.40259,356482981903.24994
2024-11-10,3130.035524073996,30583711140.36284,376942816358.42664
2024-11-11,3191.9044555518153,47726595161.32535,384143201744.36383
2024-11-12,3372.7914863430115,62390436438.24982,407462829811.2162
2024-11-13,3260.934386131155,60074013245.45247,392233485413.7434
2024-11-14,3191.8991843987947,65592582441.25777,384320615296.6757
2024-11-15,3059.812296932496,37531565153.535194,367484509623.6447
2024-11-16,3093.913043390382,33076552515.401417,372487751993.49884
2024-11-17,3133.8802234191417,26503107468.25979,376904025324.19116
2024-11-18,3075.534532601624,28547657381.28478,370225690651.5099
2024-11-19,3209.4239073326826,35364731417.99857,386129534586.85486
2024-11-20,3112.9098010150224,29767245881.040333,374925759373.2606
2024-11-21,3075.193856649331,29508936260.346874,370266265216.9245
2024-11-22,3365.9369715466096,55714132904.97961,405284044226.11957
2024-11-23,3327.7571951719624,36536922518.79305,400787854559.3274
2024-11-24,3394.036961782547,42885423857.47691,408448492183.1955
2024-11-25,3368.7027619429946,30123422893.99126,405718851021.4928
2024-11-26,3417.291223691937,53625394443.87371,411314588853.17755
2024-11-27,3325.636532587645,41896722105.13149,400706261382.18384
2024-11-28,3666.1884904377557,48465294233.32744,441632729137.7082
2024-11-29,3579.2407862474997,33082767875.13153,431207272220.64014
2024-11-30,3598.1933212253616,28800628431.21762,433361301691.3607
2024-12-01,3709.9094391073327,31961998508.230377,446851521665.9131
2024-12-02,3708.8072387383017,29705280034.459038,446664514864.58777
2024-12-03,3643.855375704235,49031522663.40944,438825980701.30023
2024-12-04,3625.7104579497204,39557549415.34987,436691206026.36835
2024-12-05,3839.443460715871,59744855714.19937,462490222624.56714
2024-12-06,3796.8688671601276,64995601294.502495,457067221118.4413
2024-12-07,4013.726145388712,55954471926.67034,483422504163.839
2024-12-08,4000.992076502189,21959792763.543846,481889176555.6843
2024-12-09,4015.7820212328807,20728146237.12733,483642898147.5037
2024-12-10,3713.3138979971745,59141397866.09827,446571271919.9886
2024-12-11,3626.5886417774996,63643513993.15369,436749626813.98615
2024-12-12,3828.1075883404096,38471623681.40909,461075934206.2153
2024-12-13,3878.850012073054,47474608675.336655,466883095805.38696
2024-12-14,3907.4296595053356,36218321642.49857,470469907671.53613
2024-12-15,3866.9958020348054,28647722345.409325,465713274663.6432
2024-12-16,3961.3154661802305,24816850994.80954,477323245356.1555
2024-12-17,3992.857195846062,50679799770.94302,480940541314.61334
2024-12-18,3879.4062240100893,32823036037.584606,467508439297.98755
2024-12-19,3628.2624780444953,50734709374.83128,436893612673.4018
2024-12-20,3434.6754695380805,64452959600.863884,413858693686.69867
2024-12-21,3468.658920056454,72936574193.4554,417562064054.3703
2024-12-22,3337.5972231166807,32479699770.041058,401314595520.45166
2024-12-23,3275.8894274015142,25811397925.979923,394984656581.5222
2024-12-24,3414.6414419807993,35528067791.09896,411423031050.5532
2024-12-25,3497.555287927574,24085249644.32143,420708095541.6798
2024-12-26,3494.5109273631047,17503804977.00058,421029544401.6013
2024-12-27,3327.7897761683494,21239977785.94795,401038436756.22626
2024-12-28,3328.6111553091764,24582312087.174118,400705550098.4306
2024-12-29,3397.8341205085153,13861298668.649797,409451576910.996
2024-12-30,3357.330742971463,11315432322.371536,404459649875.75726
2024-12-31,3359.513941757392,27664137021.813133,404631151447.3196
2025-01-01,3336.6175137659498,21466394178.61746,401972899891.29846
2025-01-02,3348.967247123586,13440599794.35101,403374380145.697
2025-01-03,3448.140436960939,22683249623.05199,415300548992.1061
2025-01-04,3604.2913795931763,22019312215.306797,434290507752.4077
2025-01-05,3660.37804173532,15951962220.78043,441117087325.0027
2025-01-06,3635.8549961807084,12542101206.558632,438092711283.22925
2025-01-07,3687.1447140588307,24440100572.59286,444015369643.70074
2025-01-08,3380.0211263090155,32832589510.813023,406968109533.227
2025-01-09,3325.1300293537356,35080974963.72023,400602495132.5278
2025-01-10,3219.09284475812,30096896683.041233,388324291231.471
2025-01-11,3269.1759954060667,26722437003.95787,394101246876.45374
2025-01-12,3283.591322828503,11047744222.743227,395839071861.3172
2025-01-13,3264.070968533687,9699706283.258541,393199349088.32996
2025-01-14,3134.5520394596483,41743898872.017,377643507549.0125
2025-01-15,3224.8006483414138,22365842880.809456,388487746270.3852
2025-01-16,3447.0340476747956,23773995063.828526,415058425772.0614
2025-01-17,3309.4466139900196,25012556602.905136,398587196539.9218
2025-01-18,3477.284285084809,27778832363.7708,419024911827.7939
2025-01-19,3309.0995676199964,32195594202.134895,398761138447.4049
2025-01-20,3208.1365439891497,59678736709.7496,388676714260.872
2025-01-21,3263.069869880814,49563768850.78339,393073139255.5516
2025-01-22,3326.0285404709143,33762939512.697853,400135429379.4123
2025-01-23,3237.2996671291435,21782301388.383984,390083338462.87006
2025-01-24,3332.580893146162,33863218042.431107,401547418905.6495
2025-01-25,3311.8499838687,25895320216.868122,398942774193.46027
2025-01-26,3320.1314101789453,12706329663.414034,400427749273.5654
